x y
1314.4403476804189 503.1623329531855
395.36632266144676 595.1516890980326
489.93215603532315 108.04866710942895
478.13045914749756 94.40503712224157
281.4153636159626 692.70414489677
396.72679568276766 596.4421927450554
803.2610124759146 200.1514424423558
202.72011264669098 905.2406723636655
709.937491082974 1214.8130180744377
1412.8210803212514 1300.8178159405213
398.62892876151625 592.3731662661885
94.76053842031884 801.653939952643
805.4431318157494 180.77754432944852
709.9110939013899 1210.4851028718097
89.98133683537505 806.6617803964364
494.0713333458243 122.08971280685142
1396.4109869276842 1303.435890805987
714.7991500529622 1188.9198917738822
289.6660416812806 689.2839202241934
213.7637569258993 901.9123835839665
1407.527086178726 1280.988227316825
800.4249078119041 201.0277194188233
1391.9929030819344 1308.5826263967722
793.3234708307494 206.8556077040511
796.7023777940311 196.5340785898684
1299.1455750878756 493.08374846036884
794.2468600876655 207.89404045056125
496.2348583262975 92.68781074283392
414.3910981468068 604.5422354696819
91.66852367840329 794.1309522240452
104.15840111744696 791.9310391460047
295.76805436149834 706.5188527166684
794.1374578646336 216.3736286703658
786.8528986531248 181.3052911754331
396.89380381481 617.0676036469858
190.5562389267083 908.8640219666339
1391.4104588021853 1296.1243376792127
1293.6956138329933 495.66247185943206
1298.1864319534081 495.76564144404944
694.1742458622517 1201.6735225802065
212.04570016711074 890.5979157514269
95.12935154315748 815.2723356669812
298.3953088299368 695.9914174565768
397.49292834388785 600.9595965753128
1393.3521768872392 1281.911510534368
714.4026017616338 1201.0808410199766
691.2937311726768 1186.912111009782
1398.865607162576 1306.2124763190366
103.45885156148545 778.9964158886452
1293.1635445060856 494.92422493674127
211.5707685122718 891.309272889592
193.6360826539398 907.4149649561555
1289.3848208004927 495.2231257882063
104.46555285943965 801.0688664708375
397.96552898459873 588.3228888908832
796.1874173954016 197.2529683003102
192.78495458913895 889.907228689259
188.05695146094249 900.7522372995655
1284.3652869940352 512.8929721407957
686.38204624216 1210.8254487405086
107.61016571300271 800.8320162142311
509.33172263246394 89.96979705227167
177.61185578335613 892.487406622142
514.001431164902 105.56192798195764
291.5581273523135 696.2393634500024
506.89964317696985 102.22822208754364
793.8491553123777 195.52623594485274
1399.1080008600413 1294.0468175620751
707.465826647681 1210.690324734753
507.2062756308847 106.4951146114746
196.2492243282544 909.2584013197162
1299.151036567601 507.51298261843795
1306.1999769945462 499.87896690974844
1397.7017470917492 1296.9062170865718
1400.5852928381535 1288.0121957364815
1296.8840975325973 516.1004719471321
103.80136587732417 801.208577957057
700.7716241678186 1197.614988545746
288.96913303701103 694.3417258132397
100.47078670809498 782.1932589329804
394.44719076852147 585.909878661183
302.5593587977226 701.9876844370701
496.97996509031975 106.11496925428511
294.0486033742392 707.07898517805
499.55464387739454 106.73457910733035
297.8256157317959 686.818377153849
400.3115382906739 596.7170180646892
304.59603155523183 698.1748778101361
383.54159273486613 591.535868606494
693.342001082728 1208.8485435920272
